ReleaseDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20170829,CA,77.88,22.12,8.24,0.04,0,0,8/29/17,9/4/17,1
20170822,CA,77.88,22.12,8.24,0.04,0,0,8/22/17,8/28/17,1
20170815,CA,77.86,22.14,8.24,0.04,0,0,8/15/17,8/21/17,1
20170808,CA,77.86,22.14,8.24,1.06,0,0,8/8/17,8/14/17,1
20170801,CA,77.86,22.14,8.24,1.06,0,0,8/1/17,8/7/17,1
20170725,CA,75.73,24.27,8.24,1.06,0,0,7/25/17,7/31/17,1
20170718,CA,75.69,24.31,8.24,1.06,0,0,7/18/17,7/24/17,1
20170711,CA,76.46,23.54,8.24,1.06,0,0,7/11/17,7/17/17,1
20170704,CA,76.46,23.54,8.24,1.06,0,0,7/4/17,7/10/17,1
20170627,CA,76.47,23.53,8.24,1.06,0,0,6/27/17,7/3/17,1
20170620,CA,76.47,23.53,8.24,1.06,0,0,6/20/17,6/26/17,1
20170613,CA,76.47,23.53,8.24,1.06,0,0,6/13/17,6/19/17,1
20170606,CA,76.47,23.53,8.24,1.06,0,0,6/6/17,6/12/17,1
20170530,CA,76.47,23.53,8.24,1.06,0,0,5/30/17,6/5/17,1
20170523,CA,76.47,23.53,8.24,1.06,0,0,5/23/17,5/29/17,1
20170516,CA,76.47,23.53,8.24,1.06,0,0,5/16/17,5/22/17,1
20170509,CA,76.47,23.53,8.24,1.06,0,0,5/9/17,5/15/17,1
20170502,CA,76.47,23.53,8.24,1.06,0,0,5/2/17,5/8/17,1
20170425,CA,76.54,23.46,8.24,1.06,0,0,4/25/17,5/1/17,1
20170418,CA,76.54,23.46,8.24,1.06,0,0,4/18/17,4/24/17,1
20170411,CA,76.54,23.46,8.24,1.06,0,0,4/11/17,4/17/17,1
20170404,CA,76.54,23.46,8.24,1.06,0,0,4/4/17,4/10/17,1
20170328,CA,76.54,23.46,8.24,1.06,0,0,3/28/17,4/3/17,1
20170321,CA,76.54,23.46,8.24,1.06,0,0,3/21/17,3/27/17,1
20170314,CA,76.54,23.46,8.24,1.06,0,0,3/14/17,3/20/17,1
20170307,CA,76.54,23.46,8.24,1.1,0,0,3/7/17,3/13/17,1
20170228,CA,74.49,25.51,8.73,4.08,0,0,2/28/17,3/6/17,1
20170221,CA,61.66,38.34,16.87,4.19,0,0,2/21/17,2/27/17,1
20170214,CA,43.94,56.06,24.19,7.41,0.73,0,2/14/17,2/20/17,1
20170207,CA,41.46,58.54,46.99,10.93,0.73,0,2/7/17,2/13/17,1
20170131,CA,38.98,61.02,50.8,20.3,1.87,0,1/31/17,2/6/17,1
20170124,CA,38.73,61.27,51.4,26.46,2.16,0,1/24/17,1/30/17,1
20170117,CA,35.56,64.44,57.51,44.35,24.3,2.13,1/17/17,1/23/17,1
20170110,CA,34.62,65.38,58.22,49.22,27.8,2.13,1/10/17,1/16/17,1
20170103,CA,18.07,81.93,67.61,54.02,38.17,18.31,1/3/17,1/9/17,1
20161227,CA,17.47,82.53,68.87,57.79,40.6,18.31,12/27/16,1/2/17,1
20161220,CA,15.09,84.91,70.11,59.09,41.55,19.75,12/20/16,12/26/16,1
20161213,CA,12.16,87.84,73.04,60.27,42.8,21.04,12/13/16,12/19/16,1
20161206,CA,12.03,87.97,73.04,60.27,42.8,21.04,12/6/16,12/12/16,1
20161129,CA,12.03,87.97,73.04,60.27,42.8,21.04,11/29/16,12/5/16,1
20161122,CA,12.03,87.97,73.04,60.27,42.8,21.04,11/22/16,11/28/16,1
20161115,CA,12.03,87.97,73.04,60.27,42.8,21.04,11/15/16,11/21/16,1
20161108,CA,12.03,87.97,73.04,60.27,42.8,21.04,11/8/16,11/14/16,1
20161101,CA,12.03,87.97,75.26,61.38,42.8,21.04,11/1/16,11/7/16,1
20161025,CA,8.96,91.04,81.12,61.8,42.8,21.04,10/25/16,10/31/16,1
20161018,CA,7.77,92.23,81.12,61.8,42.8,21.04,10/18/16,10/24/16,1
20161011,CA,0,100,83.59,62.27,42.8,21.04,10/11/16,10/17/16,1
20161004,CA,0,100,83.59,62.27,42.8,21.04,10/4/16,10/10/16,1
20160927,CA,0,100,83.59,62.27,42.8,21.04,9/27/16,10/3/16,1
20160920,CA,0,100,83.59,62.27,42.8,21.04,9/20/16,9/26/16,1
20160913,CA,0,100,83.59,62.27,42.8,21.04,9/13/16,9/19/16,1
20160906,CA,0,100,83.59,59.02,42.8,21.04,9/6/16,9/12/16,1
20160830,CA,0,100,83.59,59.02,42.8,21.04,8/30/16,9/5/16,1
20160823,CA,0,100,83.59,59.02,42.8,21.04,8/23/16,8/29/16,1
20160816,CA,0,100,83.59,59.02,42.8,21.04,8/16/16,8/22/16,1
20160809,CA,0,100,83.59,59.02,42.8,21.04,8/9/16,8/15/16,1
20160802,CA,0,100,83.59,59.02,42.8,21.04,8/2/16,8/8/16,1
20160726,CA,0,100,83.59,59.02,42.8,21.04,7/26/16,8/1/16,1
20160719,CA,0,100,83.59,59.02,42.8,21.04,7/19/16,7/25/16,1
20160712,CA,0,100,83.59,59.02,42.8,21.04,7/12/16,7/18/16,1
20160705,CA,0,100,83.59,59.02,42.8,21.04,7/5/16,7/11/16,1
20160628,CA,0,100,83.59,59.02,42.8,21.04,6/28/16,7/4/16,1
20160621,CA,0,100,83.59,59.02,42.8,21.04,6/21/16,6/27/16,1
20160614,CA,0,100,83.59,59.02,42.8,21.04,6/14/16,6/20/16,1
20160607,CA,4.27,95.73,83.91,59.02,42.99,21.04,6/7/16,6/13/16,1
20160531,CA,6.08,93.92,83.91,59.02,42.99,21.04,5/31/16,6/6/16,1
20160524,CA,5.5,94.5,86.39,61,42.99,21.04,5/24/16,5/30/16,1
